study_no,reference,lat,long,data_type,study_age,reps,checkcrop,cropseq_simp,rotlength_simp,speciesno_simp,bio_simp,den_simp,cropseq_div,rotlength_div,speciesno_div,bio_div,den_div,sys_tillage,sys_weedmgmt,weedmsmt_unit,peren_divYN,fallow_simpYN,PISD_diff,PICV_diff
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,3,4,O,O,1,1,103.5,214,Fl-Ry-Db-Tr-Po-O,6,6,2.6,33,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,4,4,O,O,1,1,66.1,126,Fl-Ry-Db-Tr-Po-O,6,6,38.7,95,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,5,4,O,O,1,1,53.7,153,Fl-Ry-Db-Tr-Po-O,6,6,11.8,99,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,6,4,O,O,1,1,151,292,Fl-Ry-Db-Tr-Po-O,6,6,11.4,95,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,1,4,O,O,1,1,151.4,537,Fl-Ry-Db-Tr-Po-O,6,6,3.5,63,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,2,4,O,O,1,1,59.9,206,Fl-Ry-Db-Tr-Po-O,6,6,3.6,37,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,3,4,O,O,1,1,98.3,219,Fl-Ry-Db-Tr-Po-O,6,6,2,19,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,4,4,O,O,1,1,103.5,99,Fl-Ry-Db-Tr-Po-O,6,6,37.9,135,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,5,4,O,O,1,1,58.4,114,Fl-Ry-Db-Tr-Po-O,6,6,6.6,68,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
1,"Adamiak and Adamiak, 2004",53.596166,19.851759,RM,6,4,O,O,1,1,114.2,207,Fl-Ry-Db-Tr-Po-O,6,6,4.8,59,tilled,herbicides,community,N,N,6.047037842337906,0.49701680895927997
2,"Anderson and Beck, 2007",44.355357,-100.367791,LAST,12,4,W,F-W,2,1,NA,100,Ch-W,2,2,NA,182,NT,herbicides,community,N,Y,11.313708498984761,0.9428090415820635
2,"Anderson and Beck, 2007",44.355357,-100.367791,LAST,12,4,W,F-W,2,1,NA,100,M-F-W,3,3,NA,16,NT,herbicides,community,N,Y,2.8284271247461903,0.15713484026367724
2,"Anderson and Beck, 2007",44.355357,-100.367791,LAST,12,4,W,F-W,2,1,NA,100,M-Ch-W,3,3,NA,53,NT,herbicides,community,N,Y,8,0.6666666666666666
2,"Anderson and Beck, 2007",44.355357,-100.367791,LAST,12,4,W,F-W,2,1,NA,100,M-Fp-W,3,3,NA,15,NT,herbicides,community,N,Y,7.54983443527075,0.6291528696058958
2,"Anderson and Beck, 2007",44.355357,-100.367791,LAST,12,4,W,F-W,2,1,NA,100,M-Sb-Fp-W,4,4,NA,9,NT,herbicides,community,N,Y,6.27162924074226,0.522635770061855
3,"Anderson et al., 1998",46.82216,-100.918353,LAST,10,3,sW,F-sW,2,1,NA,59,W-Su-sW,3,2,NA,37,tilled,herbicides,community,N,Y,8,0.6666666666666666
3,"Anderson et al., 1998",46.82216,-100.918353,LAST,10,3,sW,F-sW,2,1,NA,63,W-Su-sW,3,2,NA,30,tilled,herbicides,community,N,Y,8,0.6666666666666666
3,"Anderson et al., 1998",46.82216,-100.918353,LAST,10,3,sW,F-sW,2,1,NA,284,W-Su-sW,3,2,NA,182,NT,herbicides,community,N,Y,8,0.6666666666666666
4,"Anderson et al., 2007",43.986856,-102.239657,LAST,8,4,W,F-W,2,1,NA,33,Mi-W,2,2,NA,225,tilled,herbicides,community,N,Y,4.242640687119285,0.2357022603955158
4,"Anderson et al., 2007",43.986856,-102.239657,LAST,8,4,W,F-W,2,1,NA,33,M-Mi-W,3,3,NA,65,tilled,herbicides,community,N,Y,3.605551275463989,0.22534695471649932
4,"Anderson et al., 2007",43.986856,-102.239657,LAST,8,4,W,F-W,2,1,NA,33,Saf-Mi-W,3,3,NA,72,tilled,herbicides,community,N,Y,2.6457513110645907,0.16535945694153692
4,"Anderson et al., 2007",43.986856,-102.239657,LAST,8,4,W,F-W,2,1,NA,33,Fp-Mi-W,3,3,NA,60,tilled,herbicides,community,N,Y,1.7320508075688772,0.10825317547305482
4,"Anderson et al., 2007",43.986856,-102.239657,LAST,8,4,W,F-W,2,1,NA,33,Saf-F-W-W,4,3,NA,82,tilled,herbicides,community,N,Y,3.605551275463989,0.22534695471649932
4,"Anderson et al., 2007",43.986856,-102.239657,LAST,8,4,W,F-W,2,1,NA,33,Su-F-W-W,4,3,NA,94,tilled,herbicides,community,N,Y,4,0.25
4,"Anderson et al., 2007",43.986856,-102.239657,LAST,8,4,W,F-W,2,1,NA,33,M-Su-sW-W,4,3,NA,44,tilled,herbicides,community,N,Y,3.1091263510296048,0.1884319000624003
5,"Anderson, 2007",44.311964,-96.79755,LAST,3.5,4,Sb,Sb,1,1,NA,2.2,W-Sb-Sb-Sb,4,2,NA,1.4,tilled,herbicides,single species,N,N,6.531972647421808,0.5443310539518174
5,"Anderson, 2007",44.311964,-96.79755,LAST,3.5,4,Sb,Sb,1,1,NA,2.2,sR-W-Sb-Sb,4,3,NA,0.6,tilled,herbicides,single species,N,N,6.164414002968976,0.5137011669140813
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,3,4,M,M,1,1,NA,14,Be-Be-M-M-M,5,2,NA,24,tilled,herbicides,community,N,N,0.7071067811865476,0.05892556509887897
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,4,4,M,M,1,1,NA,19,Be-Be-M-M-M,5,2,NA,38,tilled,herbicides,community,N,N,0.7071067811865476,0.05892556509887897
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,5,4,M,M,1,1,NA,21,Be-Be-M-M-M,5,2,NA,50,tilled,herbicides,community,N,N,0.7071067811865476,0.05892556509887897
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,3,4,M,M,1,1,NA,14,Be-Be-M-M-M,5,2,NA,117,tilled,herbicides,community,N,N,0.7071067811865476,0.05892556509887897
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,4,4,M,M,1,1,NA,19,Be-Be-M-M-M,5,2,NA,152,tilled,herbicides,community,N,N,0.7071067811865476,0.05892556509887897
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,5,4,M,M,1,1,NA,21,Be-Be-M-M-M,5,2,NA,211,tilled,herbicides,community,N,N,0.7071067811865476,0.05892556509887897
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,4,4,M,M,1,1,NA,111,Db-Db-Db-M-M,5,2,NA,67,tilled,herbicides,community,N,N,1.4142135623730951,0.11785113019775793
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,5,4,M,M,1,1,NA,191,Db-Db-Db-M-M,5,2,NA,47,tilled,herbicides,community,N,N,1.4142135623730951,0.11785113019775793
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,4,4,M,M,1,1,NA,111,Db-Db-Db-M-M,5,2,NA,433,tilled,herbicides,community,N,N,1.4142135623730951,0.11785113019775793
6,"Ball and Miller, 1993",42.063589,-104.196577,RM,5,4,M,M,1,1,NA,191,Db-Db-Db-M-M,5,2,NA,243,tilled,herbicides,community,N,N,1.4142135623730951,0.11785113019775793
7,"Benoit et al., 2003",45.10671,-73.527547,RM,1,6,Ca,Ca,1,1,NA,177,Ca-On-Ca,2,2,NA,177,tilled,herbicides,community,N,N,0,0
7,"Benoit et al., 2003",45.10671,-73.527547,RM,1,6,Ca,Ca,1,1,NA,177,Ca-B-Ca,2,2,NA,177,tilled,herbicides,community,N,N,0,0
7,"Benoit et al., 2003",45.10671,-73.527547,RM,1,6,Ca,Ca,1,1,NA,177,On-B-Ca,3,3,NA,39,tilled,herbicides,community,N,N,0,0
7,"Benoit et al., 2003",45.10671,-73.527547,RM,3,6,Ca,Ca,1,1,NA,18.4,Ca-On-Ca,2,2,NA,26.1,tilled,herbicides,community,N,N,0,0
7,"Benoit et al., 2003",45.10671,-73.527547,RM,3,6,Ca,Ca,1,1,NA,18.4,B-Ca-Ca,3,2,NA,7.6,tilled,herbicides,community,N,N,0,0
7,"Benoit et al., 2003",45.10671,-73.527547,RM,3,6,Ca,Ca,1,1,NA,18.4,Ca-B-Ca,2,2,NA,10.6,tilled,herbicides,community,N,N,0,0
7,"Benoit et al., 2003",45.10671,-73.527547,RM,3,6,Ca,Ca,1,1,NA,18.4,B-On-Ca,3,3,NA,10.6,tilled,herbicides,community,N,N,0,0
7,"Benoit et al., 2003",45.10671,-73.527547,RM,3,6,Ca,Ca,1,1,NA,18.4,On-B-Ca,3,3,NA,23.9,tilled,herbicides,community,N,N,0,0
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,W,1,1,NA,9,L-W,2,2,NA,282,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,W,1,1,NA,6,L-W,2,2,NA,22,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,W,1,1,NA,19,Fl-W,2,2,NA,6,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,W,1,1,NA,1,Fl-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,W,1,1,NA,1,Fl-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,W,1,1,NA,14,L-W,2,2,NA,233,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,W,1,1,NA,23,L-W,2,2,NA,10,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,W,1,1,NA,12,Fl-W,2,2,NA,7,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,W,1,1,NA,1,Fl-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,W,1,1,NA,1,Fl-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,W,1,1,NA,6,L-W,2,2,NA,13,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,W,1,1,NA,11,L-W,2,2,NA,3,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,W,1,1,NA,41,Fl-W,2,2,NA,3,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,W,1,1,NA,1,Fl-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,W,1,1,NA,2,Fl-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,W,1,1,NA,9,sR-W,2,2,NA,12,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,W,1,1,NA,6,sR-W,2,2,NA,53,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,W,1,1,NA,19,sR-W,2,2,NA,4,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,W,1,1,NA,1,sR-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,W,1,1,NA,1,sR-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,W,1,1,NA,14,sR-W,2,2,NA,4,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,W,1,1,NA,23,sR-W,2,2,NA,73,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,W,1,1,NA,12,sR-W,2,2,NA,3,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,W,1,1,NA,1,sR-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,W,1,1,NA,1,sR-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,W,1,1,NA,6,sR-W,2,2,NA,2,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,W,1,1,NA,11,sR-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,W,1,1,NA,41,sR-W,2,2,NA,3,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,W,1,1,NA,1,sR-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,W,1,1,NA,2,sR-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,F-W,2,1,NA,15,L-W,2,2,NA,282,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,F-W,2,1,NA,7,L-W,2,2,NA,22,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,F-W,2,1,NA,10,Fl-W,2,2,NA,6,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,F-W,2,1,NA,1,Fl-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,F-W,2,1,NA,1,Fl-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,F-W,2,1,NA,11,L-W,2,2,NA,233,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,F-W,2,1,NA,7,L-W,2,2,NA,10,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,F-W,2,1,NA,10,Fl-W,2,2,NA,7,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,F-W,2,1,NA,1,Fl-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,F-W,2,1,NA,1,Fl-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,F-W,2,1,NA,7,L-W,2,2,NA,13,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,F-W,2,1,NA,3,L-W,2,2,NA,3,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,F-W,2,1,NA,5,Fl-W,2,2,NA,3,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,F-W,2,1,NA,1,Fl-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,F-W,2,1,NA,1,Fl-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,F-W,2,1,NA,15,sR-W,2,2,NA,12,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,F-W,2,1,NA,7,sR-W,2,2,NA,53,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,F-W,2,1,NA,10,sR-W,2,2,NA,4,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,F-W,2,1,NA,1,sR-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,F-W,2,1,NA,1,sR-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,F-W,2,1,NA,11,sR-W,2,2,NA,4,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,F-W,2,1,NA,7,sR-W,2,2,NA,73,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,F-W,2,1,NA,10,sR-W,2,2,NA,3,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,F-W,2,1,NA,1,sR-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,F-W,2,1,NA,1,sR-W,2,2,NA,1,tilled,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,1,6,W,F-W,2,1,NA,7,sR-W,2,2,NA,2,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,2,6,W,F-W,2,1,NA,3,sR-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,3,6,W,F-W,2,1,NA,5,sR-W,2,2,NA,3,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,4,6,W,F-W,2,1,NA,1,sR-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
8,"Blackshaw et al., 1994",49.693913,-112.841842,RM,5,6,W,F-W,2,1,NA,1,sR-W,2,2,NA,1,NT,herbicides,community,N,N,9.899494936611665,0.8249579113843054
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,1,1,NA,98,sR-W,2,2,NA,15,NT,herbicides,community,N,N,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,1,1,NA,98,Fl-W,2,2,NA,5,NT,herbicides,community,N,N,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,1,1,NA,18,sR-W,2,2,NA,5,tilled,herbicides,community,N,N,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,1,1,NA,18,Fl-W,2,2,NA,11,tilled,herbicides,community,N,N,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,1,1,NA,31,sR-W,2,2,NA,5,tilled,herbicides,community,N,N,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,1,1,NA,31,Fl-W,2,2,NA,7,tilled,herbicides,community,N,N,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,2,1,NA,6,sR-W,2,2,NA,15,NT,herbicides,community,N,Y,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,2,1,NA,6,Fl-W,2,2,NA,5,NT,herbicides,community,N,Y,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,2,1,NA,13,sR-W,2,2,NA,5,tilled,herbicides,community,N,Y,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,2,1,NA,13,Fl-W,2,2,NA,11,tilled,herbicides,community,N,Y,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,2,1,NA,8,sR-W,2,2,NA,5,tilled,herbicides,community,N,Y,NA,NA
9,"Blackshaw et al., 2001",49.693913,-112.841842,AVG,4.5,6,W,W,2,1,NA,8,Fl-W,2,2,NA,7,tilled,herbicides,community,N,Y,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,1,4,sW,sW,1,1,NA,17,Po-Db-sW,3,3,NA,30,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,1,4,sW,sW,1,1,NA,17,Po-Db-sW,3,3,NA,30,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,1,4,sW,sW,1,1,NA,17,Be-Db-Po-sW,4,4,NA,26,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,1,4,sW,sW,1,1,NA,17,Be-Db-Po-sW,4,4,NA,38,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,1,4,sW,sW,1,1,NA,17,Db-Po-sW-Be-sW,5,4,NA,37,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,2,4,sW,sW,1,1,NA,29,Po-Db-sW,3,3,NA,32,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,2,4,sW,sW,1,1,NA,29,Po-Db-sW,3,3,NA,28,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,2,4,sW,sW,1,1,NA,29,Be-Db-Po-sW,4,4,NA,24,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,2,4,sW,sW,1,1,NA,29,Be-Db-Po-sW,4,4,NA,26,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,2,4,sW,sW,1,1,NA,29,Db-Po-sW-Be-sW,5,4,NA,21,tilled,herbicides,community,N,N,NA,NA
10,"Blackshaw et al., 2015",50.099254,-112.150692,RM,3,4,sW,sW,1,1,NA,94,Po-Db-sW,3,3,NA,17,tilled,herbicides,community,N,N,NA,NA
